changwat,constituency,amphoe,tambon,station_count,voters_registered,voters_present,ballots_used,ballots_valid,ballots_invalid,ballots_no_vote,turnout_rate,invalid_rate,no_vote_rate
ลำปาง,1,เมือง,ธมภู (ทน.ป.),1,322,233,299,208,8,17,0.7236024844720497,0.034334763948497854,0.07296137339055794
ลำปาง,1,,ทุ่งฝาย,1,579,409,409,346,39,24,0.7063903281519862,0.09535452322738386,0.05867970660146699
ลำปาง,1,เมือง,นฤนาคพัฒนา,1,427,300,300,278,15,7,0.702576112412178,0.05,0.023333333333333334
ลำปาง,1,เมือง,นองแล้ว,1,487,345,345,304,22,19,0.7084188911704312,0.06376811594202898,0.05507246376811594
ลำปาง,1,ถลาง,แม่จันทร์,1,37,90,259,231,16,19,2.4324324324324325,0.17777777777777778,0.2111111111111111
ลำปาง,1,เมือง,นิคมอุตสาหกรรม,1,295,238,238,221,8,9,0.8067796610169492,0.03361344537815126,0.037815126050420166
ลำปาง,1,เมือง,น่าแซ่,1,263,182,182,163,6,13,0.6920152091254753,0.03296703296703297,0.07142857142857142
ลำปาง,1,เพื่องคำแปลง,บ้านค่า,1,359,700,250,234,9,7,1.9498607242339834,0.012857142857142857,0.01
ลำปาง,1,เพื่อ,ทุ่งฝาย,1,411,305,305,271,17,17,0.7420924574209246,0.05573770491803279,0.05573770491803279
ลำปาง,1,เพียง,คันธรอย,1,755,500,500,473,26,32,0.6622516556291391,0.052,0.064
ลำปาง,1,เพลงเทียน,กรุงเทพฯ,1,528,294,294,269,6,19,0.5568181818181818,0.02040816326530612,0.06462585034013606
ลำปาง,1,ห้างสักครึ่ง,เมืองยาง,1,340,293,293,258,25,10,0.861764705882353,0.08532423208191127,0.034129692832764506
ลำปาง,1,ห้ามจักร,หัวล่างค้าง,1,354,473,473,470,36,40,1.3361581920903955,0.07610993657505286,0.08456659619450317
ลำปาง,1,อำเภอ/เขต,ตำบล/แขวง/เทศบาล,1,403,592,592,550,13,29,1.468982630272953,0.02195945945945946,0.048986486486486486
ลำปาง,1,อำเภอ/เขต,ตำบล/แขวง/เทศบาล เมือง,1,448,448,414,414,38,8,1.0,0.08482142857142858,0.017857142857142856
ลำปาง,1,อำเภอ/เขต,ถนนจรเข้,1,47,39,319,32,287,287,0.8297872340425532,7.358974358974359,7.358974358974359
ลำปาง,1,อำเภอ/เขต กำแพงเพชร,หมู่ที่ 5,1,790,571,571,505,24,24,0.7227848101265822,0.04203152364273205,0.04203152364273205
ลำปาง,1,อำเภอ/เขต หัวเมืองฯ,ตำบล/แขวง/เทศบาล 20,1,4,5,530,570,99,15,1.25,19.8,3.0
ลำปาง,1,อำเภอ/เขต เชิงจักร,ตำบล/แขวง/เทศบาล เมืองพะเยา,1,40,37,327,295,17,15,0.925,0.4594594594594595,0.40540540540540543
ลำปาง,1,อำเภอ/เขต เชิงทะเล,เชิงทะเล,1,470,303,303,270,11,22,0.6446808510638298,0.036303630363036306,0.07260726072607261
ลำปาง,1,อำเภอ/เขต เมืองฯ,ตำบล/แขวง/เทศบาล,1,620,459,459,433,439,21,0.7403225806451613,0.9564270152505446,0.0457516339869281
ลำปาง,1,อำเภอ/เขต เมืองฯ,ตำบล/แขวง/เทศบาล 10490,1,365,250,250,250,11,9,0.684931506849315,0.044,0.036
ลำปาง,1,อำเภอ/เขต เมืองฯ,หมู่ที่ 2,1,387,272,272,237,9,26,0.7028423772609819,0.03308823529411765,0.09558823529411764
ลำปาง,1,อำเภอเมือง,เมืองฯ,1,430,358,358,327,23,8,0.8325581395348837,0.06424581005586592,0.0223463687150838
ลำปาง,1,เขตลาด,เจริญนคร,1,730,472,472,435,11,26,0.6465753424657534,0.023305084745762712,0.05508474576271186
ลำปาง,1,เขตเลือกตั้งที่ 1,โรงเรียน เหรียญดุษฎี กิตติฯ,1,88,68,68,68,7,3,0.7727272727272727,0.10294117647058823,0.04411764705882353
ลำปาง,1,เขตเลือกตั้งที่ 1,โลงเรียนทร์มอญคุณศักดา พิฆนาการฯ,1,446,446,446,427,3,16,1.0,0.006726457399103139,0.03587443946188341
ลำปาง,1,เชิงคานอง,หัวเวียง,1,492,297,297,297,2,2,0.6036585365853658,0.006734006734006734,0.006734006734006734
ลำปาง,1,เชิงคีรี,ปากคาด,1,460,336,336,277,32,27,0.7304347826086957,0.09523809523809523,0.08035714285714286
ลำปาง,1,เชิงทะเล,ต้นทอง,1,909,655,655,532,27,96,0.7205720572057206,0.04122137404580153,0.1465648854961832
ลำปาง,1,เชิงมูลค่าทางพิเศษ,เชิงมูลค่าทางพิเศษ,1,760,760,760,732,4,24,1.0,0.005263157894736842,0.031578947368421054
ลำปาง,1,เชิงเขา,มานองช์,1,640,492,492,441,29,22,0.76875,0.05894308943089431,0.044715447154471545
ลำปาง,1,เชียง,สิคมพัฒนา,1,441,297,297,267,10,16,0.673469387755102,0.03367003367003367,0.05387205387205387
ลำปาง,1,เชียงดาว,เชียงตาล,1,47,353,353,319,14,20,7.51063829787234,0.039660056657223795,0.056657223796033995
ลำปาง,1,เชียงใหม่,มาน้อม,1,777,489,489,444,38,7,0.6293436293436293,0.07770961145194274,0.014314928425357873
ลำปาง,1,เชื่อมลำปลา,สำราญ,1,528,356,356,332,87,28,0.6742424242424242,0.2443820224719101,0.07865168539325842
ลำปาง,1,เมือง,นครแพร่,1,438,338,338,310,11,17,0.771689497716895,0.03254437869822485,0.05029585798816568
