sha256,changwat,constituency,polling_station,amphoe,tambon,rank1_votes,rank2_votes,vote_margin,margin_rate
f7b1a96b7dd6f9037fc0b087c6b39579b5434c5ebf9ee2abe527689d3bc92212,ลำปาง,1,1,ไม่ระบุ,ไม่ระบุ,69,54,15,0.21739130434782608
a7f1cfd116ff6372850c3223aa9b99fa2811eb7948f359da614c01dde123e1c8,ลำปาง,1,2,อำเภอ/เขต เมืองฯ,หมู่ที่ 2,91,76,15,0.16483516483516483
71a158eb5cd1e925ff8b5a4e8dd3818478c7a9e54b211e6986aaa017c26bc973,ลำปาง,1,14,เมือง,ต้นคร้อย,69,53,16,0.2318840579710145
925b99b97c8d07f170c9764968c83e7087315c8e857170b23e2ee91e46d82893,ลำปาง,1,15,ห้างฉัตร,บางคล้า,55,39,16,0.2909090909090909
348890fc7fcab2a13492cd8bc715a538b34ad4abeb17c175ca122e9435de3194,ลำปาง,1,3,หัวหินทร์,ห้างฉัตร,71,55,16,0.22535211267605634
4b2e389c14a7b276992969d124a92f24340368cd6593c079242db6692de60b9d,ลำปาง,1,10,เมือง,มานิชอน,89,72,17,0.19101123595505617
49e8d3bac27be1addf0c402e191bf1e4ea6240cbd714ae478056091132350493,ลำปาง,1,17,เมืองไทย,เชิงทะเล,62,45,17,0.27419354838709675
91bab61a6f454f143bd3606de41167892712381723e632c8bf17daa6667a6ece,ลำปาง,1,7,เมือง,มาน้ำ เชื้อม,83,66,17,0.20481927710843373
d6fd703976729599c2855388657b1362038bcc78cd8054fa60f73eebdfedf0e7,ลำปาง,1,7,น้ำจืด,หัวเม็ด,57,40,17,0.2982456140350877
f7f5874cdadc00284fd2dad3f3108e3902883c1eadc07871375fff1e4758ac91,ลำปาง,1,14,เมือง,นิคมพัฒนา,96,79,17,0.17708333333333334
c8b35a791b99e8c98273adf6ea641578dc450a24ed15ccd1da7ae5151caca1b2,ลำปาง,1,4,เมืองลำปาง,พุทธบาท,84,66,18,0.21428571428571427
bd84421c37ad0ff90ccc57fd52818b959b6b05e24fad987184d9d34d5a66b08e,ลำปาง,1,11,เมือง,น้ำเมือง,87,69,18,0.20689655172413793
49f392537c0ead481c2cfa42016e55d6f19312e69652a4e8d41f1b52f35ac81d,ลำปาง,1,1,,,38,20,18,0.47368421052631576
