sha256,changwat,constituency,polling_station,amphoe,tambon,rank1_votes,rank2_votes,vote_margin,margin_rate
b2bef7403617e51cc16b17b267bccd34b7d0d411408080fef474b2169a04d5d8,ลำปาง,1,5,ห้างฉัตร,คำมล,187,159,28,0.1497326203208556
65c410a07494decd3a70d7b7036f193afb37dec6bc0d521f64eb1dfe0c171e0d,ลำปาง,1,4,เพื่องคำแปลง,บ้านค่า,100,72,28,0.28
2d6d2a78f9cdbfc9f11c711d7fb32cc37bfa1e7aa07df766031eb63574c07b7c,ลำปาง,1,2,เมือง,มานิจฉัย,60,32,28,0.4666666666666667
c5eec8b2a483a123667252dd62025f9b0fe19ff1fa054c8269d14e52618fac35,ลำปาง,1,8,ป้อมปราบ,บางเมตตา,158,129,29,0.18354430379746836
d1a36575a786ccd790044d64f554e2acfe68b5749975234930ebd32e21d81933,ลำปาง,1,58,เมือง,พระบาท,71,41,30,0.4225352112676056
c0efe625fc47439596c27bdddd45934dba23c583ce31975fcf9972d6605f32eb,ลำปาง,1,8,เมือง,นิคมพัฒนา,74,44,30,0.40540540540540543
c463128bf9261417d9dc86d0d486d594d8229bce9829d8fa63b85318d132a48c,ลำปาง,1,8,ห้างฉัตร,แฟล้น,61,31,30,0.4918032786885246
4faa0d43b0b7b34ee7425a91a00074dd3847d879a543f773690b47ddcf4143a2,ลำปาง,1,3,เมือง,บ้านเป้า,106,76,30,0.2830188679245283
b55fcef0baa2486e49eceb39785bcbaa318dcf140d63fd5b801603beb04fc684,ลำปาง,1,7,เมืองลำปาง,ท่าฝาย,97,66,31,0.31958762886597936
d0d276a5881e56195378ed805ae222aad4d4bbc5bbd2b8807b767fd13a31307b,ลำปาง,1,9,เมือง,มิตรพัฒนา,92,61,31,0.33695652173913043
ec5239596ecfe9cfc645bc0640f762746d995a39bd00a733de7576d3dc257b50,ลำปาง,1,12,หัวน้ำใส,เมืองฯ,104,73,31,0.2980769230769231
b9440919dbdda86c4f12ae51af871557a7d92c2e6f9a621e185512a28ee81fb7,ลำปาง,1,6,เมือง,นิคมอุตสาหกรรม,96,65,31,0.3229166666666667
51c0bee66575c09734ce68b7ba34bb55fca6b076ec0027b42e480b56b711881b,ลำปาง,1,7,ห้างฉัตร,ปลายางฯลฯ,151,119,32,0.2119205298013245
bd9cfcc83b2b1663f0f97768394f4b7eb7eedfd6fd16faf1a27ff1023b912cc5,ลำปาง,1,12,เมืองฯ,นิคมพัฒนา,52,20,32,0.6153846153846154
0ea206335e9c245b3b3803b937dd238f1bb472c389b62ed26c7318a4a44c5d75,ลำปาง,1,5,เมือง,ปอเรือง,116,83,33,0.28448275862068967
10399e1dd410b6703e120e2e7f13dbb631faf0b96ab65a51c64a1dd4c006a193,ลำปาง,1,3,เมืองลำปาง,สำโรงซ้าย,122,89,33,0.27049180327868855
1e758037bce51c750ca4a6e20d90666f3bc51d6f7a9f8f208deced54e5f10918,ลำปาง,1,3,ถลาง,เชิงทะเล,142,108,34,0.23943661971830985
4f3bdb5e1ad369decbe230c5461942ffe0965828a3918a7e9d2f45d7909f06ff,ลำปาง,1,5,เมืองลำปาง,นิคมพัฒนา,93,59,34,0.3655913978494624
755abe3496e46301d6d88eadf9e93cf683bdec598e1742721aa4c57e3f7e9869,ลำปาง,1,1,เชิงมูลค่าทางพิเศษ,เชิงมูลค่าทางพิเศษ,54,20,34,0.6296296296296297
017e407e54aeef30e3b729e9d86d0b1faa90f573ed843fee71bf7fca9076fe4b,ลำปาง,1,1,น้ำปาปาง,ป่าเปา,151,116,35,0.23178807947019867
82669a6dde07b625c9deed5ac30fea77edf17e8370ab3e835bf958ba8d36cae8,ลำปาง,1,5,เมืองลพบุรี,มวกเหล็ก,173,138,35,0.2023121387283237
fe614a8c7f105e07fa0661bcb27896de1f643efb8122ec7f86541f397e933576,ลำปาง,1,11,เมือง,ม้านเป้า,68,33,35,0.5147058823529411
cc929af275dabd5524d8089146088342e641ab78758187c86735e08070231e22,ลำปาง,1,15,เมืองลำปาง,ตำบลบ่อแห้ง,99,64,35,0.35353535353535354
3454cdfdccd12eed9ea8e336402d5323a9f0a1b539b87f9380d03c385b752cff,ลำปาง,1,1,อำเภอ/เขต เชิงทะเล,เชิงทะเล,98,63,35,0.35714285714285715
b60109796d99b96f4e3fafe645cd9ac37e87d70b9671db1dd8853e776e037a6b,ลำปาง,1,4,ห้างซัง,วงศัว,143,107,36,0.2517482517482518
5d21724c8cb82ada5913ccaf79d787896fc24f0d850cbc5583c1c6b29ecf6907,ลำปาง,1,29,เมือง,นครลำปาง,70,34,36,0.5142857142857142
11ae4f7d0e5d309a9587bdc34d701ad66943da25c4c8d55c97488a96ef47135c,ลำปาง,1,7,เมืองลำปาง,ทุ่งฝน,79,43,36,0.45569620253164556
a6de175b0bb4495b004ccea0ee56115603d7fc6b888b7b3f06b7295ae90b722a,ลำปาง,1,5,หางฉัตร์,หนองหล่ม,84,47,37,0.44047619047619047
d1c281c88f6cd4384b4bac85d6a96a4bd6c6d03b9a2e693a81878bb995dae648,ลำปาง,1,7,อำเภอ/เขต กำแพงเพชร,หมู่ที่ 5,184,147,37,0.20108695652173914
9a627c19a84bc713296a4d304ee902ff3c54107ddc383a0b58d8abc67b5b2678,ลำปาง,1,4,เมืองลำปาง,เวียงเหนือ,99,62,37,0.37373737373737376
b81bcb85ba108a88c00c42c62d1f36b1abf3bff7fa76547e99152e4e403c3870,ลำปาง,1,4,เมือง,ทุ่งฝาย,124,86,38,0.3064516129032258
5a4d99e831ad330144ff9e7eef91bf84d5c0504e2fcb6bb49db1cdd43c178147,ลำปาง,1,43,เมือง,สบป.ย,98,59,39,0.3979591836734694
04d0a0fa76437268a0165e269b910250aa3d20fa56cd43f5f5fc862fc0f15da6,ลำปาง,1,36,เมือง,สวนดอก,79,40,39,0.4936708860759494
4a886727145c78ebd9bbe9ed6530a684f960d8b17b7e669f628cf89bd30b1711,ลำปาง,1,30,เมือง,สวนดอก,99,60,39,0.3939393939393939
322de201ad83536a09b3b0b30e57ce568a531fa970259a86b6d156bed45266ed,ลำปาง,1,2,เมืองลำปาง,คูฝาย,134,95,39,0.291044776119403
7d4746b9e480dbe7fe8fb38775157ae1994c26b31ba2017834d8ffa34a43f2ac,ลำปาง,1,15,เมือง,เกียวเหนือ,86,46,40,0.46511627906976744
573ce095907104e89da4c11e20d9e03a7c7e31e45e459364e000f6e94cd970f4,ลำปาง,1,2,บางเขน,ถนน,134,94,40,0.29850746268656714
20762d806946911999df94d78fe0de728a12f4d10b29981942d7884063ba7915,ลำปาง,1,62,เมือง,พระบาท,79,38,41,0.5189873417721519
857741a8bfb252a290fabb4c96223cd3f66c275da05af37d177cac2dbe7d4f82,ลำปาง,1,3,เมืองลำปาง,บ้านค่ำ,100,59,41,0.41
