changwat,constituency,amphoe,tambon,station_count,voters_registered,voters_present,ballots_used,ballots_valid,ballots_invalid,ballots_no_vote,turnout_rate,invalid_rate,no_vote_rate
ลำปาง,1,เมือง,มานค่า,1,648,397,397,349,37,11,0.6126543209876543,0.09319899244332494,0.027707808564231738
ลำปาง,1,เมือง,มานตา,1,698,514,514,473,22,19,0.7363896848137536,0.042801556420233464,0.03696498054474708
ลำปาง,1,เมือง,มานายอิ่ม,1,737,489,489,492,22,25,0.6635006784260515,0.044989775051124746,0.05112474437627812
ลำปาง,1,เมือง,มานายเอื้อม,1,381,268,239,239,19,10,0.7034120734908137,0.0708955223880597,0.03731343283582089
ลำปาง,1,เมือง,มาน้ำเมือง,1,307,227,227,196,19,12,0.739413680781759,0.08370044052863436,0.05286343612334802
ลำปาง,1,เมือง,ม่อแร้ง,1,255,178,178,168,5,5,0.6980392156862745,0.028089887640449437,0.028089887640449437
ลำปาง,1,เมือง,เรื่องเหนือ,1,652,416,416,367,8,41,0.6380368098159509,0.019230769230769232,0.0985576923076923
ลำปาง,1,เมือง,เอ๋ย,1,676,480,480,429,18,33,0.7100591715976331,0.0375,0.06875
ลำปาง,1,น้ำปาปาง,ป่าเปา,1,546,408,408,372,14,22,0.7472527472527473,0.03431372549019608,0.05392156862745098
ลำปาง,1,เมือง,โนนม่วง,1,205,238,238,218,5,15,1.1609756097560975,0.02100840336134454,0.06302521008403361
ลำปาง,1,เมืองลำปาง,หนองคาย,1,488,328,328,281,10,132,0.6721311475409836,0.03048780487804878,0.4024390243902439
ลำปาง,1,เมืองลำปาง,หัวเมือง,1,470,297,297,256,9,32,0.6319148936170212,0.030303030303030304,0.10774410774410774
ลำปาง,1,เมืองลำปาง,หัวเมืองอำเภอ/เขต เมืองลำปาง,1,407,250,250,219,11,20,0.6142506142506142,0.044,0.08
ลำปาง,1,เมืองลำปาง,หัวเวียง,1,452,277,277,245,243,3,0.6128318584070797,0.8772563176895307,0.010830324909747292
ลำปาง,1,เมืองลำปาง,เจียงเหนือ,1,410,290,290,249,21,20,0.7073170731707317,0.07241379310344828,0.06896551724137931
ลำปาง,1,เมืองลำปาง,เจียงเหลือง,1,504,338,338,290,19,29,0.6706349206349206,0.05621301775147929,0.08579881656804733
ลำปาง,1,เมืองลำปาง,เชียงเหนือ,1,317,206,206,182,5,19,0.6498422712933754,0.024271844660194174,0.09223300970873786
ลำปาง,1,เมืองลำปาง,เตรียมมูล,1,760,760,760,682,8,70,1.0,0.010526315789473684,0.09210526315789473
ลำปาง,1,กำจัดรถ,เมืองฯ,1,520,347,347,347,19,144,0.6673076923076923,0.05475504322766571,0.414985590778098
ลำปาง,1,เมืองล่าง,น้ำเป้า,1,500,362,362,317,15,30,0.724,0.04143646408839779,0.08287292817679558
ลำปาง,1,เมืองอำนาจ,ปุณฑิตพิมพา,1,431,274,294,246,21,22,0.6357308584686775,0.07664233576642336,0.08029197080291971
ลำปาง,1,เมืองฯ,คันธรชัย,1,639,454,454,377,25,52,0.7104851330203443,0.05506607929515418,0.1145374449339207
ลำปาง,1,เมืองฯ,ช่องแจ้ง,1,660,479,479,419,10,50,0.7257575757575757,0.020876826722338204,0.10438413361169102
ลำปาง,1,เมืองฯ,ธมฟ,1,559,367,367,302,18,47,0.6565295169946332,0.04904632152588556,0.12806539509536785
ลำปาง,1,เมืองฯ,นครลำปาง,1,364,23,236,196,9,31,0.06318681318681318,0.391304347826087,1.3478260869565217
ลำปาง,1,เมืองฯ,นิคมพัฒนา,1,239,185,185,173,173,6,0.7740585774058577,0.9351351351351351,0.032432432432432434
ลำปาง,1,เมืองฯ,บ่อแล้ว,1,534,421,421,359,17,43,0.7883895131086143,0.040380047505938245,0.1021377672209026
ลำปาง,1,เมืองฯ,ป้อมเชิง,1,697,495,495,431,13,51,0.7101865136298422,0.026262626262626262,0.10303030303030303
ลำปาง,1,เมืองฯ,มังกรทอง,1,349,271,291,261,13,12,0.7765042979942693,0.04797047970479705,0.04428044280442804
ลำปาง,1,เมืองฯ,เวียงเหนือ,1,720,472,472,406,13,48,0.6555555555555556,0.02754237288135593,0.1016949152542373
ลำปาง,1,เมืองเชียงใหม่,ทุ่งช้าง,1,84,60,609,512,34,63,0.7142857142857143,0.5666666666666667,1.05
ลำปาง,1,เมืองเชียงใหม่,สวนจิ๋ม,1,360,264,264,222,5,37,0.7333333333333333,0.01893939393939394,0.14015151515151514
ลำปาง,1,เมืองไทย,มูลนายพิชชา,1,300,233,233,206,11,16,0.7766666666666666,0.04721030042918455,0.06866952789699571
ลำปาง,1,เม็ด,ม้านเป้า,1,690,517,517,503,14,31,0.7492753623188406,0.027079303675048357,0.059961315280464215
ลำปาง,1,เลื่อง,ปิยะเจียม,1,109,513,513,493,33,47,4.706422018348624,0.06432748538011696,0.09161793372319688
ลำปาง,1,เลื่องลำปาง,สำเนียงชัย,1,660,459,459,380,22,57,0.6954545454545454,0.04793028322440087,0.12418300653594772
ลำปาง,1,เลื่อน,พระยา,1,236,292,292,243,25,24,1.2372881355932204,0.08561643835616438,0.0821917808219178
ลำปาง,1,เมืองลำปาง,สุขชัย,1,571,372,372,331,6,35,0.6514886164623468,0.016129032258064516,0.09408602150537634
ลำปาง,1,เมืองลำปาง,สบตุ๋ย,1,65,47,462,381,25,56,0.7230769230769231,0.5319148936170213,1.1914893617021276
ลำปาง,1,เมืองลำปาง,ยุทธนาพิมพา,1,589,470,410,352,26,32,0.797962648556876,0.05531914893617021,0.06808510638297872
ลำปาง,1,เมืองลำปาง,ทุ่มฟาย,1,320,239,239,202,11,26,0.746875,0.04602510460251046,0.1087866108786611
ลำปาง,1,เมืองพิมาย,หัวเมือง,1,340,242,242,206,13,23,0.711764705882353,0.05371900826446281,0.09504132231404959
ลำปาง,1,เมืองลำปาง,30,1,467,463,463,384,84,66,0.9914346895074947,0.18142548596112312,0.14254859611231102
ลำปาง,1,เมืองลำปาง,กำแพง,1,616,427,427,374,17,39,0.6931818181818182,0.03981264637002342,0.09133489461358314
ลำปาง,1,เมืองลำปาง,คลองมิ้ว,1,218,165,165,148,6,13,0.7568807339449541,0.03636363636363636,0.07878787878787878
ลำปาง,1,เมืองลำปาง,คันถังชัย,1,378,275,275,275,5,37,0.7275132275132276,0.01818181818181818,0.13454545454545455
ลำปาง,1,เมืองลำปาง,คันธรชัย,1,631,449,449,377,14,58,0.7115689381933439,0.031180400890868598,0.1291759465478842
ลำปาง,1,เมืองลำปาง,ต้น ธงชัย,1,766,390,590,501,50,39,0.5091383812010444,0.1282051282051282,0.1
ลำปาง,1,เมืองลำปาง,ต้นชงชัย,1,572,411,411,356,12,43,0.7185314685314685,0.029197080291970802,0.10462287104622871
ลำปาง,1,เมืองลำปาง,ต้นชัย,1,695,467,467,410,14,43,0.6719424460431654,0.029978586723768737,0.09207708779443255
ลำปาง,1,เมืองลำปาง,ทุ่งบาง,1,529,356,356,308,13,35,0.6729678638941399,0.03651685393258427,0.09831460674157304
ลำปาง,1,เมืองลำปาง,ทุ่งฝาย,1,40,402,402,398,72,26,10.05,0.1791044776119403,0.06467661691542288
ลำปาง,1,เมืองลำปาง,ทุ่มฝาย,1,570,423,423,360,37,26,0.7421052631578947,0.08747044917257683,0.061465721040189124
ลำปาง,1,เมืองลำปาง,ท่าฝาย,1,393,301,301,260,19,24,0.7659033078880407,0.06312292358803986,0.07973421926910298
ลำปาง,1,เมืองลำปาง,ม่อแก้ว,1,348,277,277,229,10,38,0.7959770114942529,0.036101083032490974,0.1371841155234657
ลำปาง,1,เมืองลำปาง,ท่าอิฐ,1,760,760,760,675,9,76,1.0,0.011842105263157895,0.1
ลำปาง,1,เมืองลำปาง,นครลำปาง,1,320,187,187,167,2,18,0.584375,0.0106951871657754,0.0962566844919786
ลำปาง,1,กำแพงเพชร,66043,1,400,339,339,301,17,21,0.8475,0.05014749262536873,0.061946902654867256
ลำปาง,1,เมืองลำปาง,น้ำค่ำ,1,360,259,259,230,23,6,0.7194444444444444,0.0888030888030888,0.023166023166023165
ลำปาง,1,เมืองลำปาง,บ่อแฮ๋ว หนองกะทิม,1,168,134,134,124,3,7,0.7976190476190477,0.022388059701492536,0.05223880597014925
ลำปาง,1,เมืองลำปาง,บ้านค่ำ,1,418,1,273,233,19,21,0.0023923444976076554,19.0,21.0
ลำปาง,1,เมืองลำปาง,บ้านศา,1,722,504,504,448,35,21,0.6980609418282548,0.06944444444444445,0.041666666666666664
ลำปาง,1,เมืองลำปาง,ป้อมซัง,1,329,387,387,340,8,39,1.1762917933130699,0.020671834625323,0.10077519379844961
ลำปาง,1,เมืองลำปาง,ป้อมยิ้ม,1,238,182,182,168,4,10,0.7647058823529411,0.02197802197802198,0.054945054945054944
ลำปาง,1,เมืองลำปาง,ป้านา,1,731,518,518,461,24,33,0.7086183310533516,0.04633204633204633,0.0637065637065637
ลำปาง,1,เมืองลำปาง,พระบาท,1,641,407,407,370,5,32,0.6349453978159126,0.012285012285012284,0.07862407862407862
ลำปาง,1,เมืองลำปาง,มอแซ็ค,1,730,531,531,464,15,52,0.7273972602739726,0.02824858757062147,0.09792843691148775
ลำปาง,1,ซำจักร,เมืองยาง,1,409,373,333,304,9,20,0.9119804400977995,0.024128686327077747,0.05361930294906166
ลำปาง,1,เมือง,บ่อแล้ว,1,630,407,407,353,18,37,0.6460317460317461,0.044226044226044224,0.09090909090909091
ลำปาง,1,เมือง,บ่อแล้ง,1,263,182,182,155,54,232,0.6920152091254753,0.2967032967032967,1.2747252747252746
ลำปาง,1,เมือง,บุญหาดฟ้ามนา,1,300,228,228,228,19,17,0.76,0.08333333333333333,0.07456140350877193
ลำปาง,1,หัวเม็ด,เมืองฯ,1,560,471,491,389,24,24,0.8410714285714286,0.050955414012738856,0.050955414012738856
ลำปาง,1,หัวเสีย,บางยางคก,1,40,592,592,519,31,42,14.8,0.052364864864864864,0.07094594594594594
ลำปาง,1,หัวเสียกรุง,เรียงตลาด,1,350,486,486,422,33,91,1.3885714285714286,0.06790123456790123,0.18724279835390947
ลำปาง,1,หางคู,หนองหล่ม,1,320,262,262,221,10,31,0.81875,0.03816793893129771,0.1183206106870229
ลำปาง,1,หาดใหญ่,เชิงคาม,1,297,47,494,425,36,206,0.15824915824915825,0.7659574468085106,4.382978723404255
ลำปาง,1,ห้องพักอาศัย,หนองหล่ม,1,340,265,265,244,3,18,0.7794117647058824,0.011320754716981131,0.06792452830188679
ลำปาง,1,ห้างจักร,หัวลังคตาร,1,469,592,592,516,30,46,1.2622601279317698,0.05067567567567568,0.0777027027027027
ลำปาง,1,ห้างฉกรรจ์,หนองหล่ม,1,706,506,506,466,14,26,0.71671388101983,0.02766798418972332,0.05138339920948617
ลำปาง,1,ห้างฉัตร,บางเขน,1,503,301,301,329,16,16,0.5984095427435387,0.053156146179401995,0.053156146179401995
ลำปาง,1,ห้างฉัตร,ป.ช.ค.,1,200,156,156,134,7,13,0.78,0.04487179487179487,0.08333333333333333
ลำปาง,1,ห้างฉัตร,ปังยมคอก,1,646,518,518,461,25,32,0.8018575851393189,0.04826254826254826,0.06177606177606178
