sha256,voting_type,station_id,tambon,amphoe,changwat,constituency,polling_station,election_date,voters_registered,voters_present,ballots_allocated,ballots_used,ballots_valid,ballots_invalid,ballots_no_vote,ballots_remaining,total_votes,validation_passed,turnout_rate,valid_rate,invalid_rate,no_vote_rate
d29e3fe55f2f004ffd4185d701772408af5169d6c04ebc71838412223e440eb1,election_day,,มาน้ำเมือง,เมือง,ลำปาง,1,15,2026-02-28,307,227,300,227,199,17,11,73,199,False,0.739413680781759,0.8766519823788547,0.07488986784140969,0.048458149779735685
d88e0d2771cf66b9cf507e57ba9f627d4346c5866f16365deda6d6715a52a9bf,election_day,,ป้อมเจ้าหลวง,กำแพงเพชร,ลำปาง,1,15,2026-02-28,598,398,540,398,371,5,22,142,371,False,0.6655518394648829,0.9321608040201005,0.01256281407035176,0.05527638190954774
dcd865ef181a9c9a6d7239a85fd7ac8982c013323ee2c21261b58cd1b59af09d,election_day,,ปะยูหค,หัวเมือง เชต์,ลำปาง,1,14,2026-02-28,670,520,640,520,467,26,467,10,467,False,0.7761194029850746,0.8980769230769231,0.05,0.8980769230769231
54bbb628e1dac226ead0ee22ca633ebd483a7d843002dd7df6be5eafc622a020,election_day,,สามยุ่ง,เมือง,ลำปาง,1,48,2026-02-28,519,335,480,335,307,9,19,145,307,True,0.6454720616570327,0.9164179104477612,0.026865671641791045,0.056716417910447764
572bbbc672da3afd9f4b63ffd4fb6eeda54119a43572926976f22e867bb2b339,advance,,โลงเรียนทร์มอญคุณศักดา พิฆนาการฯ,เขตเลือกตั้งที่ 1,ลำปาง,1,1,2026-02-28,446,446,446,446,427,3,16,0,427,False,1.0,0.9573991031390134,0.006726457399103139,0.03587443946188341
5a4d99e831ad330144ff9e7eef91bf84d5c0504e2fcb6bb49db1cdd43c178147,election_day,,สบป.ย,เมือง,ลำปาง,1,43,2026-02-28,457,284,420,284,255,12,17,126,255,False,0.6214442013129103,0.897887323943662,0.04225352112676056,0.05985915492957746
6894ce19d86292625af026ac6436c58cae245028ec35a3b9bf775f734395ad86,election_day,,มาน้อม,เชียงใหม่,ลำปาง,1,1,2026-02-28,777,489,700,489,444,38,7,411,444,False,0.6293436293436293,0.9079754601226994,0.07770961145194274,0.014314928425357873
799d1e1a5c59cf13267c83b2b37db38630adda20b0c12e1a9f5ad07bfca31ec1,election_day,,ม่อแร้ง,เมือง,ลำปาง,1,14,2026-02-28,523,360,480,363,325,11,27,117,325,False,0.6883365200764818,0.9027777777777778,0.030555555555555555,0.075
8b8bb758064fb109f2044f89ccfbc4ab8ed229dc8af0d2a1597c4e8b9c9df272,election_day,,ห้ามเรียน,เมือง,ลำปาง,1,9,2026-02-08,591,432,560,432,395,21,16,128,395,True,0.7309644670050761,0.9143518518518519,0.04861111111111111,0.037037037037037035
11bfd03a154a8c57aae02047182dd393fc35895d4d7a6d15a551bb4ed1cf6f74,election_day,,พระบาท,เมือง,ลำปาง,1,60,2026-02-08,518,350,460,350,327,6,17,110,327,True,0.6756756756756757,0.9342857142857143,0.017142857142857144,0.04857142857142857
2d6d2a78f9cdbfc9f11c711d7fb32cc37bfa1e7aa07df766031eb63574c07b7c,election_day,,มานิจฉัย,เมือง,ลำปาง,1,2,2026-02-28,205,136,200,136,171,3,2,64,131,False,0.6634146341463415,1.2573529411764706,0.022058823529411766,0.014705882352941176
3454cdfdccd12eed9ea8e336402d5323a9f0a1b539b87f9380d03c385b752cff,election_day,,เชิงทะเล,อำเภอ/เขต เชิงทะเล,ลำปาง,1,1,2026-02-28,470,303,440,303,270,11,22,137,270,False,0.6446808510638298,0.8910891089108911,0.036303630363036306,0.07260726072607261
3851312c1f22be0e2b57ae6f0e151fe62725481944671101964c2847ffd1ab80,advance,,,,ลำปาง,1,1,2026-02-28,0,0,759,759,733,1,25,0,733,False,,,,
3f40a200c3f5d87105b2d6c78cc1ed3d81158a07c1b8f9ed2edcf5276a7ee9dc,election_day,,เมืองยาง,กำแพงเพชร,ลำปาง,1,11,2026-02-28,43,344,220,344,320,77,7,76,320,False,8.0,0.9302325581395349,0.2238372093023256,0.020348837209302327
40cbdc0b6211fe77206afc7b9af59f3285acd48f762bda6cecfc93195c891ab5,election_day,,ถนนสาย,เมือง,ลำปาง,1,27,2026-02-28,624,433,560,433,398,5,30,30,398,False,0.6939102564102564,0.9191685912240185,0.011547344110854504,0.06928406466512702
422cbfb098b5e8c95c90eea5f96c61e92f222f997f1d0491b10e5b9372e2cd1a,election_day,,เมืองฯ,ห้างฉัตร์,ลำปาง,1,3,2026-02-07,560,551,550,551,399,31,16,119,399,False,0.9839285714285714,0.7241379310344828,0.056261343012704176,0.029038112522686024
a7f1cfd116ff6372850c3223aa9b99fa2811eb7948f359da614c01dde123e1c8,election_day,,หมู่ที่ 2,อำเภอ/เขต เมืองฯ,ลำปาง,1,2,2026-02-28,387,272,360,272,237,9,26,88,239,False,0.7028423772609819,0.8713235294117647,0.03308823529411765,0.09558823529411764
b47f669ae46f82c3ceb50a49add79a29ed626ee93c1a673206d478e23290d0d0,election_day,,เมืองยาง,หัวยง,ลำปาง,1,10,2026-02-28,436,313,420,313,271,278,11,107,271,False,0.7178899082568807,0.865814696485623,0.8881789137380192,0.03514376996805112
b5a81efbb1e9960258e880af298ca05cdb2f8fa8a55e56aa3b8c3e55335735e2,election_day,,ปองฮัว,เมืองลำปาง,ลำปาง,1,4,2026-02-28,236,182,240,182,165,14,3,58,165,True,0.7711864406779662,0.9065934065934066,0.07692307692307693,0.016483516483516484
