sha256,changwat,constituency,polling_station,amphoe,tambon,rank1_votes,rank2_votes,vote_margin,margin_rate
4cf43ebce0b42f0faeb63049a7f4f9bac23ba3de432ae2edb075ef345ff5492c,ลำปาง,1,2,เมืองลำปาง,ยุทธนาพิมพา,99,84,15,0.15151515151515152
371498078a21654a7df8224e56f03ae5fb2f62ef1e64a3ae7d7928d06efcfc8f,ลำปาง,1,9,หัวมิตร,นำมากล,86,71,15,0.1744186046511628
10399e1dd410b6703e120e2e7f13dbb631faf0b96ab65a51c64a1dd4c006a193,ลำปาง,1,3,เลื่องลำปาง,สำเนียงชัย,161,145,16,0.09937888198757763
ca376088ea0f01ab065a87c01b80a0dc4fd01cf31920e95935f5f3bc219ad875,ลำปาง,1,1,ห้างฉัตร,บางเขน,148,131,17,0.11486486486486487
52212598f774177496e713576e6081af7ba593f7eafa2a94dc6366a7589ed65d,ลำปาง,1,2,อำเภอ/เขต ห้างสรรพสินค้า,ตำบล/แขวง/เทศบาล เมืองฯลฯ,160,143,17,0.10625
b0edf5986081b865306b8ea5766fd5d252b4e029c520d8f792e26404ad24c81c,ลำปาง,1,4,เมือง,นิคมพัฒนา,76,59,17,0.2236842105263158
c8b35a791b99e8c98273adf6ea641578dc450a24ed15ccd1da7ae5151caca1b2,ลำปาง,1,4,เมืองอำนาจ,ปุณฑิตพิมพา,104,86,18,0.17307692307692307
c0efe625fc47439596c27bdddd45934dba23c583ce31975fcf9972d6605f32eb,ลำปาง,1,8,เมือง,นิคมพัฒนา,47,29,18,0.3829787234042553
49e8d3bac27be1addf0c402e191bf1e4ea6240cbd714ae478056091132350493,ลำปาง,1,7,เมืองลำปาง,เชียงเหนือ,66,48,18,0.2727272727272727
c576fcd82c65919f953222498bc8ec45f3f5f1144e32b3d72c658da0100b925f,ลำปาง,1,9,น้ำจุกรา,เมืองฯ,87,69,18,0.20689655172413793
3b6dffaa888ccd263e36e97f94ce5a6fa0b916a9de58b9f58fa78070230b3550,ลำปาง,1,6,ห้องพักอาศัย,หนองหล่ม,104,86,18,0.17307692307692307
71a158eb5cd1e925ff8b5a4e8dd3818478c7a9e54b211e6986aaa017c26bc973,ลำปาง,1,14,เมือง,คันธงชัย,85,66,19,0.2235294117647059
b55fcef0baa2486e49eceb39785bcbaa318dcf140d63fd5b801603beb04fc684,ลำปาง,1,4,เมืองลำปาง,ท่าฝาย,109,90,19,0.1743119266055046
cdb45baa56078ed7bacb4ae64c8835211578eb2ebf61b3f5aeacbc1561bcc910,ลำปาง,1,10,เมือง,บ้านเป้า,63,44,19,0.30158730158730157
bc278335c2ecf68a4d14c5c76cc9fee1dadb4836884536bd2bda08658a975b6e,ลำปาง,1,3,เพิ่ม,ป่าเหลื่อม,136,117,19,0.13970588235294118
6d893080c4f03d2bf47c1f8587283001c16c3e0d8378d85180b11d6358b07022,ลำปาง,1,4,เมืองฯ,มังกรทอง,108,88,20,0.18518518518518517
0f1740d31cce64e03953230a0ca7aa989279db4f6e95df431a222e37d3b9c28d,ลำปาง,1,3,เมือง,ม่อแร้ง,90,70,20,0.2222222222222222
36c8122012e366f9ef0e8c7b7d6e99eddc14d47d31df9a437f5288378fe5c64d,ลำปาง,1,2,เมือง,มานตา,211,190,21,0.0995260663507109
925b99b97c8d07f170c9764968c83e7087315c8e857170b23e2ee91e46d82893,ลำปาง,1,15,ห้างฉัตร,ป.ช.ค.,57,36,21,0.3684210526315789
2d3c3b93c7614d3e9da1040641b15caf81e0c91ba24603feab824355df4f21a9,ลำปาง,1,13,เมือง,ม้านเข้า,51,30,21,0.4117647058823529
bd84421c37ad0ff90ccc57fd52818b959b6b05e24fad987184d9d34d5a66b08e,ลำปาง,1,11,เพียง,ฟ้าแลอิม,98,76,22,0.22448979591836735
b47f669ae46f82c3ceb50a49add79a29ed626ee93c1a673206d478e23290d0d0,ลำปาง,1,10,ค่างฉัตร,เมืองยาว,126,104,22,0.1746031746031746
573ce095907104e89da4c11e20d9e03a7c7e31e45e459364e000f6e94cd970f4,ลำปาง,1,2,กำแพงเพชร,66043,126,103,23,0.18253968253968253
8c04685846be74413d9c2da6407c23528338e9d50dc5a9dc7876270496bf9c95,ลำปาง,1,1,อำเภอ/เขต,ตำบล/แขวง/เทศบาล,229,206,23,0.10043668122270742
9171d0a94aa2da15220713c306d803f80a67fb7bb3b6a77ba2c30e87fae4dfb0,ลำปาง,1,15,เมือง,คลองสอง,60,35,25,0.4166666666666667
7b55eb7e724f907a5f24ece46f1a6f91c2ad63a49572e59ec40f7f6e3256dad0,ลำปาง,1,1,เมืองลำปาง,นิคมพัฒนา,124,99,25,0.20161290322580644
