จังหวัด,เขต,อำเภอ,ตำบล,จํานวนหน่วย,ผู้มีสิทธิ,มาใช้สิทธิ,บัตรใช้ไป,บัตรดี,บัตรเสีย,บัตรไม่เลือก,1. ไทยทรัพย์ทวี,2. เพื่อชาติไทย,3. ใหม่,4. มิติใหม่,5. รวมใจไทย,6. รวมไทยสร้างชาติ,7. พลวัต,8. ประชาธิปไตยใหม่,9. เพื่อไทย,10. ทางเลือกใหม่,11. เศรษฐกิจ,12. เสรีรวมไทย,13. รวมพลังประชาชน,14. ท้องที่ไทย,15. อนาคตไทย,16. พลังเพื่อไทย,17. ไทยชนะ,18. พลังสังคมใหม่,19. สังคมประชาธิปไตยไทย,20. ฟิวซัน,21. ไทรวมพลัง,22. ก้าวล่วง,23. ปวงชนไทย,24. วิชชั่นใหม่,25. เพื่อชีวิตใหม่,26. คลองไทย,27. ประชาธิปัตย์,28. ไทยก้าวหน้า,29. ไทยภักดี,30. แรงงานสร้างชาติ,31. ประชากรไทย,32. ครูไทยเพื่อประชาชน,33. ประชาชาติ,34. สร้างอนาคตไทย,35. รักชาติ,36. ไทยพร้อม,37. ภูมิใจไทย,38. พลังธรรมใหม่,39. กรีน,40. ไทยธรรม,41. แผ่นดินธรรม,42. กล้าธรรม,43. พลังประชารัฐ,44. โอกาสใหม่,45. เป็นธรรม,46. ประชาชน,47. ประชาไทย,48. ไทยสร้างไทย,49. ไทยก้าวใหม่,50. ประชาอาสาชาติ,51. พร้อม,52. เครือข่ายชาวนาแห่งประเทศไทย,53. ไทยพิทักษ์ธรรม,54. ความหวังใหม่,55. ไทยรวมไทย,56. เพื่อบ้านเมือง,57. พลังไทยรักชาติ
ลำปาง,1,เมือง,คันธรวย,1,651,450,450,396,27,27,2,11,3,3,2,6,0,7,126,3,3,7,0,1,4,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,2,0,0,1,1,38,1,0,1,0,0,0,0,1,147,1,2,0,0,0,0,0,0,0,0,1
ลำปาง,1,เมือง,คูแย้ง,1,538,364,364,339,8,17,0,2,0,4,0,7,1,5,52,2,9,4,3,0,0,0,1,0,0,0,0,1,1,0,1,0,25,1,1,0,0,0,0,1,0,0,48,1,0,0,0,4,0,0,0,159,0,7,0,0,0,0,0,0,0,0,0
ลำปาง,1,เมือง,จิตรี,1,702,467,467,428,31,31,0,3,3,2,1,24,1,4,73,1,14,3,2,0,0,2,6,0,0,1,0,0,1,1,0,0,35,0,9,0,0,0,0,0,0,0,73,2,0,6,0,3,0,0,5,163,1,3,2,1,0,0,0,0,0,0,0
ลำปาง,1,เมือง,ชนบท,1,664,430,430,395,11,34,97,4,0,6,2,10,0,3,51,1,13,4,1,1,0,1,0,1,1,0,0,1,6,0,0,0,26,0,5,0,0,0,0,0,0,0,79,1,0,0,0,5,0,0,0,158,1,4,3,0,0,0,0,0,0,0,6
ลำปาง,1,เมือง,ชมพู,1,501,334,334,316,5,13,2,2,1,2,1,1,1,2,46,3,7,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,1,62,0,0,0,0,0,2,0,0,136,1,0,7,0,0,1,0,0,0,0,0
ลำปาง,1,เมือง,ต้นครูย,1,497,344,344,344,10,20,0,3,0,0,3,8,0,3,48,2,16,0,8,1,0,0,0,0,0,0,0,0,0,1,0,2,2,0,1,2,1,0,2,1,0,0,44,1,0,0,0,2,1,0,0,135,1,0,2,0,0,0,0,0,0,0,0
ลำปาง,1,เมือง,ต้นคร้อย,1,415,264,264,233,13,18,4,11,3,10,6,8,0,9,53,1,12,1,5,0,1,4,0,0,0,0,1,0,0,0,0,0,15,1,0,1,0,2,1,0,0,0,11,1,0,0,1,0,0,0,0,69,0,1,0,0,1,0,0,0,0,0,0
ลำปาง,1,เมือง,ถนนราชเทวี,1,80,62,620,530,11,13,2,4,2,4,1,19,0,3,79,6,7,3,4,0,0,1,0,1,0,0,0,0,0,0,0,0,23,0,4,0,1,0,0,2,20,0,0,0,20,10,0,20,0,0,30,30,0,30,20,0,10,0,0,0,10,0,0
ลำปาง,1,เมือง,ถนนสาย,1,624,433,433,398,5,30,0,0,1,0,0,12,1,2,55,6,95,0,3,0,0,1,0,0,0,0,0,0,0,1,1,0,24,0,7,0,0,0,0,0,0,96,0,0,0,0,0,4,0,1,0,185,0,2,1,0,0,0,0,0,0,0,0
ลำปาง,1,เมือง,ถลาง,1,371,216,216,201,8,7,1,0,0,0,0,6,0,0,29,1,14,2,1,0,0,0,0,0,5,0,0,0,0,0,0,0,23,0,5,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,87,0,0,1,0,0,0,0,0,0,0,0
